0,1663975
0,1268202
0,1407326
0,1968003
0,1722403
0,1325291
0,14018
0,106546
0,1395105
0,1566371
0,128059
0,1
0,1408329
0,1268369
0,1385393
0,1232039
0,1210779
0,1335839
0,1568213
0,1923805
0,2326776
0,2549608
0,3145275
0,3190812
0,3258952
0,3295783
0,3289923
0,3595459
0,3585749
0,3569843
0,3208894
0,3351031
0,3457173
0,3666611
0,3639154
0,3847254
0,399006
0,3832856
0,3833357
0,3964948
0,3868849
0,3902167
0,4650518
0,4729873
0,5126985
0,4712461
0,3827162
0,3024736
0,2923449
0,3118154
0,2585603
0,2663285
0,2082516
0,2406131
0,189501
0,295777
0,2486659
0,2284922
0,1634006
0,1689254
0,1807116
0,1962144
0,2215611
0,1607388
0,226115
0,3015695
0,4131694
0,3595626
0,3559631
0,3892288
0,4250057
0,4396546
0,4868997
0,461737
0,4526462
0,5316669
0,6126797
0,6214523
0,5721816
0,6250016
0,5811216
0,5676279
0,5810881
0,5436205
0,5922548
0,595034
0,6620676
0,7614961
0,7499445
0,7395646
0,7751406
0,840768
0,9
0,837068
0,8257338
0,8522695
0,8325143
0,8238587
0,7894716
0,7460604
0,7702187
0,7673892
0,8081886
0,8489712
0,7680254
0,7700345
0,7164612
0,6107041
0,6208997
0,6095656
0,547923
0,5177377
0,5208181
0,5550214
0,5145903
0,5491953
0,5060186
0,5324202
0,5271968
0,4708443
0,4536173
0,5227435
0,545077
0,6048781
0,633908
0,6376414
0,6697352
0,6613644
0,6412576
0,6144207
0,5967081
0,6321501
0,580586
0,6313298
0,6465481
0,5959882
0,6406047
0,6858072
0,6310956
0,606117
0,6397006
0,6305262
0,6316479
0,6200962
0,6491429
0,7051606
0,6926211
0,6468661
0,6829277
0,6763983
